precision,language,idx,nll,chars
bf16,English,0,130.55361938476562,164
bf16,English,1,108.76749420166016,193
bf16,English,2,77.9869384765625,75
bf16,English,3,113.6446533203125,152
bf16,English,4,94.08880615234375,130
bf16,English,5,102.48175048828125,168
bf16,English,6,63.69322967529297,109
bf16,English,7,71.54202270507812,62
bf16,English,8,101.85697937011719,147
bf16,English,9,72.70279693603516,48
bf16,English,10,86.29939270019531,87
bf16,English,11,104.23765563964844,173
bf16,English,12,78.27230072021484,102
bf16,English,13,99.01930236816406,116
bf16,English,14,197.0193634033203,192
bf16,English,15,166.00946044921875,192
bf16,English,16,162.61085510253906,218
bf16,English,17,111.97251892089844,119
bf16,English,18,105.95646667480469,165
bf16,English,19,253.19627380371094,351
bf16,English,20,86.57930755615234,115
bf16,English,21,113.73507690429688,154
bf16,English,22,50.876346588134766,90
bf16,English,23,66.7773666381836,73
bf16,English,24,60.37555694580078,76
bf16,English,25,117.03688049316406,210
bf16,English,26,79.99858093261719,140
bf16,English,27,63.81648254394531,76
bf16,English,28,60.39851379394531,64
bf16,English,29,55.35442352294922,59
bf16,English,30,37.966922760009766,92
bf16,English,31,92.73980712890625,110
bf16,English,32,127.03500366210938,110
bf16,English,33,112.67033386230469,155
bf16,English,34,89.32304382324219,110
bf16,English,35,93.55776977539062,123
bf16,English,36,129.18081665039062,180
bf16,English,37,159.11083984375,116
bf16,English,38,100.15032958984375,124
bf16,English,39,58.361602783203125,63
bf16,English,40,67.15432739257812,121
bf16,English,41,164.2027587890625,230
bf16,English,42,63.27135467529297,75
bf16,English,43,167.43997192382812,327
bf16,English,44,107.92239379882812,207
bf16,English,45,63.27840042114258,81
bf16,English,46,58.281639099121094,78
bf16,English,47,117.56072998046875,149
bf16,English,48,66.57743835449219,115
bf16,English,49,98.61878967285156,144
bf16,English,50,112.35599517822266,121
bf16,English,51,147.4002685546875,275
bf16,English,52,104.21895599365234,154
bf16,English,53,99.09011840820312,144
bf16,English,54,99.38941955566406,180
bf16,English,55,88.96455383300781,117
bf16,English,56,158.5023193359375,283
bf16,English,57,82.70452117919922,121
bf16,English,58,104.38253784179688,147
bf16,English,59,109.20548248291016,187
bf16,English,60,160.74339294433594,275
bf16,English,61,85.54969024658203,138
bf16,English,62,58.118919372558594,100
bf16,English,63,77.65179443359375,128
bf16,English,64,116.00035858154297,256
bf16,English,65,32.36138153076172,134
bf16,English,66,235.05252075195312,462
bf16,English,67,122.0040283203125,193
bf16,English,68,50.887901306152344,67
bf16,English,69,138.3926239013672,304
bf16,English,70,93.84642028808594,181
bf16,English,71,206.34457397460938,387
bf16,English,72,131.38613891601562,257
bf16,English,73,96.88042449951172,166
bf16,English,74,162.02215576171875,216
bf16,English,75,42.63334274291992,75
bf16,English,76,52.55592346191406,89
bf16,English,77,60.879966735839844,116
bf16,English,78,255.8399658203125,313
bf16,English,79,197.4667510986328,384
bf16,English,80,78.93266296386719,120
bf16,English,81,74.91422271728516,134
bf16,English,82,123.89488983154297,148
bf16,English,83,190.71849060058594,244
bf16,English,84,68.39935302734375,80
bf16,English,85,208.5091552734375,323
bf16,English,86,47.976478576660156,74
bf16,English,87,52.831787109375,55
bf16,English,88,85.74244689941406,120
bf16,English,89,92.34071350097656,97
bf16,English,90,55.121177673339844,107
bf16,English,91,51.28814697265625,102
bf16,English,92,76.660400390625,121
bf16,English,93,122.3119125366211,132
bf16,English,94,82.32548522949219,86
bf16,English,95,86.92729187011719,142
bf16,English,96,55.82070541381836,80
bf16,English,97,155.58135986328125,178
bf16,English,98,171.87637329101562,243
bf16,English,99,108.07252502441406,199
bf16,English,100,68.99800872802734,88
bf16,English,101,147.13992309570312,147
bf16,English,102,102.3336410522461,80
bf16,English,103,60.411376953125,44
bf16,English,104,56.60673522949219,44
bf16,English,105,32.119712829589844,48
bf16,English,106,62.58903503417969,92
bf16,English,107,48.87628936767578,82
bf16,English,108,207.58802795410156,290
bf16,English,109,120.70021057128906,192
bf16,English,110,94.10064697265625,112
bf16,English,111,68.90074157714844,120
bf16,English,112,87.67283630371094,105
bf16,English,113,68.23430633544922,62
bf16,English,114,209.4974365234375,252
bf16,English,115,138.57333374023438,137
bf16,English,116,161.7868194580078,212
bf16,English,117,100.39076232910156,146
bf16,English,118,41.85664749145508,44
bf16,English,119,258.067138671875,286
bf16,English,120,111.8608169555664,143
bf16,English,121,154.25726318359375,169
bf16,English,122,62.35447692871094,86
bf16,English,123,53.67237091064453,46
bf16,English,124,99.08790588378906,69
bf16,English,125,92.33757781982422,102
bf16,English,126,76.86578369140625,94
bf16,English,127,47.12770080566406,88
bf16,English,128,87.71337127685547,94
bf16,English,129,90.14260864257812,121
bf16,English,130,111.34324645996094,140
bf16,English,131,86.5279312133789,99
bf16,English,132,80.84822082519531,126
bf16,English,133,110.3814697265625,134
bf16,English,134,160.58926391601562,274
bf16,English,135,224.10899353027344,327
bf16,English,136,105.79396057128906,119
bf16,English,137,73.790771484375,105
bf16,English,138,132.88388061523438,218
bf16,English,139,119.583251953125,137
bf16,English,140,108.51506042480469,123
bf16,English,141,130.33444213867188,180
bf16,English,142,205.3087921142578,246
bf16,English,143,112.5684585571289,145
bf16,English,144,72.01890563964844,83
bf16,English,145,158.92605590820312,253
bf16,English,146,68.64369201660156,100
bf16,English,147,213.55003356933594,331
bf16,English,148,85.25536346435547,112
bf16,English,149,173.27072143554688,239
bf16,English,150,92.2612533569336,110
bf16,English,151,120.24618530273438,158
bf16,English,152,65.55980682373047,57
bf16,English,153,130.68606567382812,150
bf16,English,154,131.13612365722656,165
bf16,English,155,57.19926834106445,86
bf16,English,156,150.2498779296875,180
bf16,English,157,84.79432678222656,90
bf16,English,158,100.11319732666016,149
bf16,English,159,233.45355224609375,262
bf16,English,160,104.05826568603516,138
bf16,English,161,82.44515991210938,79
bf16,English,162,65.32688903808594,73
bf16,English,163,119.15301513671875,209
bf16,English,164,50.519569396972656,102
bf16,English,165,71.727294921875,110
bf16,English,166,108.46693420410156,166
bf16,English,167,83.00643157958984,75
bf16,English,168,104.19613647460938,129
bf16,English,169,66.56793975830078,87
bf16,English,170,73.0952377319336,103
bf16,English,171,80.92559051513672,130
bf16,English,172,95.0972671508789,146
bf16,English,173,82.89613342285156,151
bf16,English,174,123.15231323242188,169
bf16,English,175,100.80433654785156,137
bf16,English,176,105.23516845703125,152
bf16,English,177,162.9262237548828,304
bf16,English,178,75.23089599609375,135
bf16,English,179,120.56423950195312,186
bf16,English,180,110.42626190185547,176
bf16,English,181,165.54617309570312,210
bf16,English,182,107.96161651611328,143
